ID	KEGG_ko
Tatro_000236-T1	-
Tatro_000237-T1	ko:K15425
Tatro_000238-T1	-
Tatro_000239-T1	-
Tatro_000240-T1	-
Tatro_000240-T2	-
Tatro_000241-T1	ko:K01427
Tatro_000242-T1	ko:K11315
Tatro_000243-T1	ko:K13621
Tatro_000245-T1	ko:K00237,ko:K17791
Tatro_000246-T1	ko:K01866
Tatro_000247-T1	ko:K20405
Tatro_000248-T1	ko:K04523
Tatro_000249-T1	ko:K00344
Tatro_000250-T1	-
Tatro_000251-T1	ko:K01868
Tatro_000252-T1	ko:K09102
Tatro_000253-T1	ko:K06287
Tatro_000255-T1	-
Tatro_000256-T1	-
Tatro_000257-T1	-
Tatro_000258-T1	ko:K07755,ko:K18064
Tatro_000259-T1	ko:K11099
Tatro_000260-T1	-
Tatro_000261-T1	-
Tatro_000262-T1	-
Tatro_000263-T1	ko:K09553
Tatro_000265-T1	-
Tatro_000266-T1	-
Tatro_000267-T1	-
Tatro_000268-T1	-
Tatro_000269-T1	-
Tatro_000270-T1	-
Tatro_000270-T2	-
Tatro_000271-T1	-
Tatro_000272-T1	ko:K17623
Tatro_000273-T1	-
Tatro_000274-T1	-
Tatro_000275-T1	-
Tatro_000276-T1	-
Tatro_000278-T1	-
Tatro_000279-T1	-
Tatro_000280-T1	-
Tatro_000281-T1	-
Tatro_000282-T1	ko:K00293,ko:K00797
Tatro_000283-T1	-
Tatro_000284-T1	-
Tatro_000285-T1	ko:K08139
Tatro_000287-T1	ko:K16055
Tatro_000288-T1	-
Tatro_000289-T1	ko:K01939
Tatro_000290-T1	-
Tatro_000291-T1	-
Tatro_000292-T1	-
Tatro_000293-T1	-
Tatro_000294-T1	ko:K01053
Tatro_000295-T1	ko:K01051
Tatro_000296-T1	-
Tatro_000298-T1	-
Tatro_000299-T1	-
Tatro_000300-T1	-
Tatro_000301-T1	-
Tatro_000302-T1	-
Tatro_000303-T1	ko:K02370
Tatro_000304-T1	-
Tatro_000305-T1	-
Tatro_000306-T1	-
Tatro_000311-T1	-
Tatro_000312-T1	-
Tatro_000313-T1	ko:K18579
Tatro_000315-T1	-
Tatro_000316-T1	-
Tatro_000317-T1	-
Tatro_000318-T1	-
Tatro_000319-T1	ko:K00621
Tatro_000320-T1	ko:K05841
Tatro_000321-T1	-
Tatro_000322-T1	ko:K11353
Tatro_000323-T1	-
Tatro_000324-T1	ko:K15732
Tatro_000325-T1	-
Tatro_000326-T1	ko:K06677
Tatro_000327-T1	ko:K02214
Tatro_000328-T1	ko:K02900,ko:K11273
Tatro_000329-T1	ko:K11273
Tatro_000330-T1	-
Tatro_000332-T1	-
Tatro_000333-T1	-
Tatro_000335-T1	ko:K14404
Tatro_000336-T1	ko:K03955
Tatro_000337-T1	ko:K03941
Tatro_000338-T1	-
Tatro_000339-T1	-
Tatro_000340-T1	-
Tatro_000341-T1	-
Tatro_000342-T1	-
Tatro_000343-T1	ko:K00573
Tatro_000344-T1	-
Tatro_000345-T1	ko:K17663
Tatro_000346-T1	ko:K15100
Tatro_000347-T1	ko:K08197
Tatro_000348-T1	-
Tatro_000349-T1	-
Tatro_000350-T1	-
Tatro_000352-T1	-
Tatro_000353-T1	-
Tatro_000354-T1	-
Tatro_000355-T1	ko:K03381
Tatro_000356-T1	ko:K00480
Tatro_000357-T1	-
Tatro_000358-T1	ko:K14333
Tatro_000360-T1	ko:K08157
Tatro_000361-T1	-
Tatro_000362-T1	ko:K08254
Tatro_000363-T1	-
Tatro_000364-T1	-
Tatro_000365-T1	-
Tatro_000366-T1	ko:K05994
Tatro_000367-T1	-
Tatro_000368-T1	-
Tatro_000369-T1	-
Tatro_000370-T1	-
Tatro_000371-T1	-
Tatro_000372-T1	-
Tatro_000373-T1	-
Tatro_000374-T1	-
Tatro_000375-T1	-
Tatro_000376-T1	-
Tatro_000376-T2	-
Tatro_000377-T1	-
Tatro_000379-T1	-
Tatro_000380-T1	-
Tatro_000381-T1	-
Tatro_000382-T1	-
Tatro_000383-T1	-
Tatro_000384-T1	-
Tatro_000385-T1	-
Tatro_000386-T1	-
Tatro_000387-T1	-
Tatro_000388-T1	-
Tatro_000389-T1	-
Tatro_000390-T1	-
Tatro_000391-T1	-
Tatro_000392-T1	-
Tatro_000393-T1	-
Tatro_000394-T1	ko:K14674
Tatro_000397-T1	-
Tatro_000399-T1	-
Tatro_000400-T1	-
Tatro_000401-T1	-
Tatro_000402-T1	ko:K05291
Tatro_000403-T1	ko:K07018
Tatro_000404-T1	-
Tatro_000405-T1	-
Tatro_000406-T1	-
Tatro_000407-T1	ko:K02257
Tatro_000408-T1	ko:K00616
Tatro_000409-T1	-
Tatro_000410-T1	ko:K08737
Tatro_000411-T1	-
Tatro_000412-T1	-
Tatro_000413-T1	ko:K17866
Tatro_000414-T1	-
Tatro_000415-T1	-
Tatro_000418-T1	-
Tatro_000419-T1	-
Tatro_000420-T1	-
Tatro_000421-T1	ko:K01733
Tatro_000422-T1	-
Tatro_000423-T1	-
Tatro_000424-T1	ko:K01183
Tatro_000425-T1	ko:K01126
Tatro_000426-T1	-
Tatro_000427-T1	-
Tatro_000428-T1	-
Tatro_000429-T1	-
Tatro_000430-T1	ko:K03458
Tatro_000431-T1	ko:K01098
Tatro_000432-T1	ko:K03032
Tatro_000433-T1	ko:K00387,ko:K10534
Tatro_000435-T1	-
Tatro_000436-T1	-
Tatro_000437-T1	-
Tatro_000438-T1	-
Tatro_000439-T1	-
Tatro_000440-T1	ko:K15172
Tatro_000441-T1	ko:K11805
Tatro_000442-T1	-
Tatro_000443-T1	-
Tatro_000444-T1	ko:K00873
Tatro_000444-T2	ko:K00873
Tatro_000445-T1	ko:K02201
Tatro_000446-T1	-
Tatro_000447-T1	-
Tatro_000448-T1	ko:K08286
Tatro_000449-T1	-
Tatro_000451-T1	ko:K01537
Tatro_000452-T1	ko:K05658
Tatro_000453-T1	-
Tatro_000454-T1	-
Tatro_000455-T1	-
Tatro_000456-T1	-
Tatro_000457-T1	-
Tatro_000458-T1	-
Tatro_000459-T1	-
Tatro_000460-T1	-
Tatro_000461-T1	-
Tatro_000462-T1	ko:K14209
Tatro_000463-T1	-
Tatro_000464-T1	-
Tatro_000465-T1	-
Tatro_000466-T1	ko:K14537
Tatro_000467-T1	-
Tatro_000468-T1	ko:K05681
Tatro_000469-T1	-
Tatro_000470-T1	-
Tatro_000471-T1	ko:K02355
Tatro_000472-T1	-
Tatro_000473-T1	ko:K02994
Tatro_000474-T1	ko:K00486
Tatro_000475-T1	ko:K01265
Tatro_000476-T1	ko:K20368
Tatro_000477-T1	ko:K12816
Tatro_000479-T1	ko:K01480
Tatro_000481-T1	-
Tatro_000482-T1	-
Tatro_000483-T1	-
Tatro_000484-T1	-
Tatro_000485-T1	ko:K03809
Tatro_000486-T1	-
Tatro_000487-T1	-
Tatro_000488-T1	ko:K03511
Tatro_000489-T1	ko:K09569,ko:K09577
Tatro_000491-T1	-
Tatro_000492-T1	-
Tatro_000493-T1	ko:K10356
Tatro_000494-T1	ko:K18932
Tatro_000495-T1	-
Tatro_000498-T1	-
Tatro_000499-T1	-
Tatro_000500-T1	-
Tatro_000501-T1	ko:K01626
Tatro_000502-T1	ko:K01792
Tatro_000503-T1	-
Tatro_000504-T1	-
Tatro_000505-T1	-
Tatro_000506-T1	-
Tatro_000508-T1	-
Tatro_000509-T1	ko:K02882
Tatro_000510-T1	-
Tatro_000511-T1	-
Tatro_000512-T1	ko:K06889
Tatro_000513-T1	ko:K17550
Tatro_000514-T1	ko:K17743
Tatro_000515-T1	-
Tatro_000516-T1	-
Tatro_000517-T1	ko:K15628
Tatro_000518-T1	-
Tatro_000519-T1	ko:K15731
Tatro_000520-T1	ko:K09481
Tatro_000521-T1	-
Tatro_000522-T1	-
Tatro_000524-T1	ko:K03539
Tatro_000525-T1	-
Tatro_000526-T1	-
Tatro_000527-T1	-
Tatro_000529-T1	-
Tatro_000530-T1	ko:K15130
Tatro_000531-T1	ko:K01133
Tatro_000532-T1	ko:K05767
Tatro_000533-T1	-
Tatro_000534-T1	-
Tatro_000535-T1	-
Tatro_000536-T1	ko:K17686
Tatro_000537-T1	ko:K12180
Tatro_000538-T1	-
Tatro_000539-T1	ko:K02910
Tatro_000540-T1	ko:K06688
Tatro_000541-T1	ko:K02216
Tatro_000542-T1	ko:K03358
Tatro_000543-T1	-
Tatro_000544-T1	ko:K01011
Tatro_000545-T1	ko:K02981
Tatro_000546-T1	-
Tatro_000547-T1	-
Tatro_000552-T1	ko:K14688
Tatro_000553-T1	-
Tatro_000554-T1	ko:K06990
Tatro_000555-T1	ko:K08486
Tatro_000556-T1	-
Tatro_000557-T1	ko:K01183
Tatro_000558-T1	-
Tatro_000559-T1	ko:K14404
Tatro_000560-T1	-
Tatro_000561-T1	-
Tatro_000562-T1	-
Tatro_000564-T1	-
Tatro_000565-T1	ko:K03259
Tatro_000566-T1	-
Tatro_000567-T1	ko:K22066
Tatro_000568-T1	-
Tatro_000569-T1	ko:K00921
Tatro_000570-T1	ko:K00921
Tatro_000571-T1	ko:K12184
Tatro_000572-T1	ko:K14833
Tatro_000573-T1	-
Tatro_000574-T1	-
Tatro_000575-T1	-
Tatro_000576-T1	-
Tatro_000577-T1	-
Tatro_000578-T1	ko:K01754
Tatro_000579-T1	ko:K10273
Tatro_000580-T1	ko:K10273
Tatro_000581-T1	ko:K07304
Tatro_000582-T1	ko:K13303
Tatro_000583-T1	-
Tatro_000584-T1	-
Tatro_000585-T1	-
Tatro_000586-T1	-
Tatro_000587-T1	-
Tatro_000588-T1	ko:K00018
Tatro_000589-T1	-
Tatro_000590-T1	-
Tatro_000591-T1	-
Tatro_000592-T1	ko:K01192
Tatro_000593-T1	ko:K07879,ko:K07880
Tatro_000594-T1	-
Tatro_000596-T1	-
Tatro_000597-T1	ko:K00027
Tatro_000598-T1	-
Tatro_000599-T1	-
Tatro_000600-T1	ko:K02894
Tatro_000602-T1	-
Tatro_000603-T1	-
Tatro_000605-T1	-
Tatro_000607-T1	-
Tatro_000608-T1	ko:K01669
Tatro_000609-T1	ko:K02971
Tatro_000610-T1	-
Tatro_000611-T1	ko:K13355
Tatro_000612-T1	-
Tatro_000613-T1	-
Tatro_000615-T1	-
Tatro_000616-T1	-
Tatro_000617-T1	-
Tatro_000618-T1	-
Tatro_000619-T1	-
Tatro_000620-T1	-
Tatro_000621-T1	ko:K14708
Tatro_000622-T1	-
Tatro_000623-T1	-
Tatro_000624-T1	-
Tatro_000625-T1	ko:K08286
Tatro_000627-T1	-
Tatro_000628-T1	ko:K03030
Tatro_000629-T1	ko:K06067
Tatro_000630-T1	ko:K03025
Tatro_000631-T1	ko:K01802
Tatro_000632-T1	ko:K12471
Tatro_000633-T1	-
Tatro_000634-T1	-
Tatro_000635-T1	-
Tatro_000636-T1	ko:K14686
Tatro_000637-T1	-
Tatro_000639-T1	ko:K14709
Tatro_000640-T1	-
Tatro_000641-T1	ko:K21544
Tatro_000642-T1	-
Tatro_000643-T1	-
Tatro_000644-T1	-
Tatro_000645-T1	-
Tatro_000646-T1	ko:K19720
Tatro_000647-T1	ko:K03031
Tatro_000648-T1	ko:K05236
Tatro_000649-T1	ko:K11718
Tatro_000650-T1	ko:K00706
Tatro_000651-T1	ko:K11756
Tatro_000652-T1	-
Tatro_000653-T1	-
Tatro_000654-T1	ko:K08342
Tatro_000655-T1	ko:K09506
Tatro_000656-T1	ko:K02307
Tatro_000657-T1	ko:K14821
Tatro_000658-T1	ko:K14568
Tatro_000658-T2	ko:K14568
Tatro_000659-T1	ko:K20222
Tatro_000660-T1	-
Tatro_000661-T1	ko:K20293
Tatro_000662-T1	-
Tatro_000663-T1	ko:K05289
Tatro_000664-T1	ko:K03039
Tatro_000665-T1	-
Tatro_000666-T1	ko:K15109
Tatro_000667-T1	ko:K10875
Tatro_000668-T1	ko:K01681
Tatro_000669-T1	ko:K10875,ko:K15305
Tatro_000670-T1	ko:K16584
Tatro_000671-T1	-
Tatro_000672-T1	ko:K16275
Tatro_000673-T1	ko:K01739
Tatro_000674-T1	-
Tatro_000675-T1	ko:K02961
Tatro_000676-T1	ko:K01509,ko:K20293
Tatro_000677-T1	-
Tatro_000678-T1	ko:K03965
Tatro_000679-T1	ko:K01518
Tatro_000680-T1	-
Tatro_000681-T1	ko:K03953
Tatro_000682-T1	-
Tatro_000683-T1	ko:K11252
Tatro_000684-T1	ko:K11251
Tatro_000685-T1	ko:K13076
Tatro_000686-T1	-
Tatro_000687-T1	ko:K11366
Tatro_000688-T1	ko:K14854
Tatro_000689-T1	-
Tatro_000691-T1	ko:K00658
Tatro_000692-T1	ko:K17583
Tatro_000693-T1	ko:K00382,ko:K17583
Tatro_000694-T1	ko:K17907
Tatro_000695-T1	ko:K15113
Tatro_000697-T1	ko:K09523
Tatro_000698-T1	ko:K03104
Tatro_000699-T1	-
Tatro_000699-T2	-
Tatro_000700-T1	ko:K18587
Tatro_000701-T1	ko:K12614
Tatro_000702-T1	-
Tatro_000703-T1	ko:K06963
Tatro_000704-T1	ko:K01568
Tatro_000705-T1	ko:K17783,ko:K18182
Tatro_000706-T1	ko:K01719
Tatro_000707-T1	-
Tatro_000708-T1	ko:K04371
Tatro_000709-T1	ko:K14007
Tatro_000710-T1	-
Tatro_000711-T1	-
Tatro_000712-T1	ko:K14289
Tatro_000713-T1	ko:K17868
Tatro_000714-T1	-
Tatro_000715-T1	ko:K00670
Tatro_000716-T1	ko:K00679
Tatro_000717-T1	-
Tatro_000718-T1	-
Tatro_000719-T1	ko:K11128
Tatro_000720-T1	ko:K17103
Tatro_000721-T1	-
Tatro_000724-T1	-
Tatro_000725-T1	-
Tatro_000726-T1	-
Tatro_000727-T1	-
Tatro_000728-T1	ko:K11968
Tatro_000729-T1	-
Tatro_000730-T1	-
Tatro_000731-T1	-
Tatro_000732-T1	-
Tatro_000733-T1	-
Tatro_000734-T1	-
Tatro_000735-T1	-
Tatro_000736-T1	ko:K10301
Tatro_000737-T1	ko:K05610
Tatro_000738-T1	ko:K18725
Tatro_000739-T1	ko:K14544
Tatro_000740-T1	ko:K18107
Tatro_000741-T1	-
Tatro_000742-T1	ko:K01027
Tatro_000743-T1	-
Tatro_000744-T1	-
Tatro_000745-T1	-
Tatro_000746-T1	ko:K15620
Tatro_000748-T1	-
Tatro_000749-T1	ko:K02519
Tatro_000750-T1	ko:K09140
Tatro_000751-T1	ko:K12404
Tatro_000752-T1	-
Tatro_000753-T1	ko:K20826
Tatro_000754-T1	ko:K15026
Tatro_000755-T1	-
Tatro_000756-T1	ko:K03379
Tatro_000757-T1	-
Tatro_000760-T1	-
Tatro_000761-T1	-
Tatro_000762-T1	ko:K03240
Tatro_000763-T1	-
Tatro_000764-T1	ko:K09131
Tatro_000765-T1	-
Tatro_000766-T1	ko:K15859
Tatro_000767-T1	ko:K02684
Tatro_000768-T1	ko:K15445
Tatro_000769-T1	-
Tatro_000770-T1	ko:K08735,ko:K19476
Tatro_000772-T1	-
Tatro_000773-T1	ko:K02295,ko:K10426
Tatro_000774-T1	-
Tatro_000775-T1	-
Tatro_000776-T1	ko:K10403
Tatro_000777-T1	ko:K11344
Tatro_000778-T1	-
Tatro_000779-T1	-
Tatro_000780-T1	-
Tatro_000783-T1	ko:K01621
Tatro_000784-T1	-
Tatro_000785-T1	ko:K09499
Tatro_000786-T1	-
Tatro_000787-T1	ko:K02967
Tatro_000788-T1	-
Tatro_000789-T1	ko:K09202,ko:K09238
Tatro_000790-T1	ko:K09498
Tatro_000791-T1	ko:K14801
Tatro_000792-T1	ko:K15028
Tatro_000793-T1	ko:K10747
Tatro_000794-T1	-
Tatro_000795-T1	-
Tatro_000796-T1	-
Tatro_000797-T1	ko:K20296
Tatro_000798-T1	ko:K15364
Tatro_000799-T1	ko:K12600
Tatro_000800-T1	ko:K19719,ko:K19721
Tatro_000802-T1	-
Tatro_000803-T1	-
Tatro_000804-T1	-
Tatro_000804-T2	-
Tatro_000805-T1	-
Tatro_000806-T1	-
Tatro_000807-T1	-
Tatro_000808-T1	ko:K01188
Tatro_000809-T1	-
Tatro_000814-T1	-
Tatro_000815-T1	-
Tatro_000816-T1	-
Tatro_000818-T1	ko:K09659
Tatro_000819-T1	-
Tatro_000820-T1	-
Tatro_000821-T1	ko:K07101,ko:K19836
Tatro_000822-T1	-
Tatro_000823-T1	-
Tatro_000825-T1	-
Tatro_000826-T1	-
Tatro_000827-T1	ko:K00249
Tatro_000828-T1	-
Tatro_000829-T1	-
Tatro_000830-T1	-
Tatro_000831-T1	ko:K18123
Tatro_000833-T1	-
Tatro_000834-T1	-
Tatro_000835-T1	ko:K03514
Tatro_000836-T1	-
Tatro_000837-T1	-
Tatro_000840-T1	ko:K11493
Tatro_000841-T1	-
Tatro_000842-T1	-
Tatro_000843-T1	-
Tatro_000844-T1	-
Tatro_000845-T1	ko:K07203
Tatro_000846-T1	-
Tatro_000848-T1	ko:K08288
Tatro_000849-T1	-
Tatro_000850-T1	-
Tatro_000851-T1	-
Tatro_000852-T1	-
Tatro_000853-T1	ko:K11662
Tatro_000854-T1	-
Tatro_000855-T1	ko:K00062
Tatro_000856-T1	-
Tatro_000857-T1	-
Tatro_000858-T1	-
Tatro_000860-T1	ko:K20465
Tatro_000861-T1	-
Tatro_000862-T1	-
Tatro_000863-T1	ko:K08176
Tatro_000864-T1	ko:K01539
Tatro_000865-T1	ko:K18278
Tatro_000866-T1	-
Tatro_000867-T1	-
Tatro_000868-T1	-
Tatro_000869-T1	-
Tatro_000871-T1	-
Tatro_000872-T1	-
Tatro_000873-T1	-
Tatro_000874-T1	ko:K01198
Tatro_000875-T1	ko:K01050
Tatro_000876-T1	-
Tatro_000877-T1	ko:K11153
Tatro_000878-T1	-
Tatro_000879-T1	ko:K16261
Tatro_000880-T1	-
Tatro_000881-T1	-
Tatro_000882-T1	-
Tatro_000884-T1	ko:K18179
Tatro_000885-T1	ko:K20318
Tatro_000886-T1	-
Tatro_000887-T1	ko:K11275
Tatro_000887-T2	ko:K11275
Tatro_000887-T3	ko:K11275
Tatro_000888-T1	ko:K14007
Tatro_000889-T1	-
Tatro_000890-T1	-
Tatro_000891-T1	-
Tatro_000891-T2	-
Tatro_000892-T1	-
Tatro_000893-T1	ko:K01893
Tatro_000895-T1	-
Tatro_000896-T1	-
Tatro_000900-T1	ko:K21631
Tatro_000902-T1	-
Tatro_000904-T1	-
Tatro_000905-T1	ko:K14402
Tatro_000906-T1	ko:K12614
Tatro_000907-T1	-
Tatro_000908-T1	ko:K04799
Tatro_000909-T1	-
Tatro_000910-T1	ko:K11244
Tatro_000913-T1	ko:K01381
Tatro_000914-T1	-
Tatro_000915-T1	-
Tatro_000916-T1	-
Tatro_000917-T1	ko:K11561
Tatro_000918-T1	-
Tatro_000919-T1	ko:K03063
Tatro_000920-T1	-
Tatro_000921-T1	ko:K00558
Tatro_000922-T1	-
Tatro_000923-T1	ko:K10631
Tatro_000924-T1	-
Tatro_000925-T1	-
Tatro_000926-T1	-
Tatro_000927-T1	ko:K03126
Tatro_000928-T1	ko:K03033,ko:K03126
Tatro_000929-T1	-
Tatro_000930-T1	ko:K11304,ko:K11307,ko:K11401
Tatro_000931-T1	ko:K02128
Tatro_000932-T1	ko:K12591
Tatro_000933-T1	ko:K00697
Tatro_000934-T1	ko:K15445
Tatro_000936-T1	-
Tatro_000938-T1	ko:K00485
Tatro_000939-T1	-
Tatro_000940-T1	-
Tatro_000941-T1	ko:K05607
Tatro_000942-T1	ko:K11849
Tatro_000943-T1	-
Tatro_000944-T1	-
Tatro_000945-T1	ko:K15503
Tatro_000946-T1	-
Tatro_000947-T1	ko:K12494
Tatro_000949-T1	-
Tatro_000950-T1	ko:K02434
Tatro_000951-T1	-
Tatro_000952-T1	ko:K07034
Tatro_000953-T1	-
Tatro_000954-T1	ko:K20184
Tatro_000955-T1	ko:K03348
Tatro_000956-T1	ko:K03250
Tatro_000957-T1	ko:K17430
Tatro_000958-T1	ko:K11771
Tatro_000960-T1	ko:K14557
Tatro_000961-T1	-
Tatro_000962-T1	-
Tatro_000963-T1	ko:K18716
Tatro_000964-T1	ko:K02969
Tatro_000965-T1	ko:K18667
Tatro_000966-T1	ko:K02324
Tatro_000967-T1	ko:K18184
Tatro_000968-T1	-
Tatro_000969-T1	ko:K17656
Tatro_000970-T1	ko:K01785
Tatro_000971-T1	-
Tatro_000972-T1	ko:K17968
Tatro_000973-T1	-
Tatro_000974-T1	ko:K03860
Tatro_000975-T1	ko:K21766
Tatro_000976-T1	-
Tatro_000977-T1	ko:K15633
Tatro_000979-T1	-
Tatro_000981-T1	ko:K05906
Tatro_000982-T1	ko:K01620
Tatro_000983-T1	-
Tatro_000984-T1	ko:K13108
Tatro_000985-T1	ko:K01560
Tatro_000986-T1	-
Tatro_000987-T1	-
Tatro_000988-T1	-
Tatro_000989-T1	ko:K16794
Tatro_000990-T1	-
Tatro_000991-T1	-
Tatro_000992-T1	-
Tatro_000993-T1	-
Tatro_000994-T1	ko:K01580,ko:K14790
Tatro_000995-T1	ko:K10746
Tatro_000996-T1	ko:K14860
Tatro_000997-T1	ko:K15414
Tatro_000998-T1	ko:K20465
Tatro_000999-T1	-
Tatro_001000-T1	-
Tatro_001001-T1	ko:K14790
Tatro_001002-T1	ko:K11968
Tatro_001003-T1	ko:K11187
Tatro_001004-T1	ko:K05767
Tatro_001005-T1	-
Tatro_001006-T1	ko:K10753
